TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC,TimeEDT
12:51 AM,46.9,26.1,44,30.09,10.0,WSW,5.8,-,,,Overcast,240,2013-01-01 05:51:00,
1:51 AM,46.0,27.0,47,30.07,10.0,SW,9.2,-,,,Overcast,220,2013-01-01 06:51:00,
2:51 AM,46.0,28.0,50,30.06,10.0,SW,6.9,-,,,Overcast,220,2013-01-01 07:51:00,
3:51 AM,46.0,28.0,50,30.07,10.0,WSW,9.2,-,,,Overcast,250,2013-01-01 08:51:00,
4:51 AM,45.0,28.9,53,30.06,10.0,WSW,6.9,-,,,Overcast,240,2013-01-01 09:51:00,
5:51 AM,46.0,28.0,50,30.06,10.0,Calm,Calm,-,,,Overcast,0,2013-01-01 10:51:00,
6:51 AM,45.0,30.0,56,30.06,10.0,WSW,5.8,-,,,Overcast,240,2013-01-01 11:51:00,
7:51 AM,43.0,34.0,71,30.08,10.0,SW,4.6,-,0.0,Rain,Light Rain,220,2013-01-01 12:51:00,
8:51 AM,44.1,35.1,71,30.08,10.0,SW,8.1,-,0.0,Rain,Light Rain,220,2013-01-01 13:51:00,
9:51 AM,44.1,39.0,82,30.1,7.0,SSW,5.8,-,0.03,Rain,Light Rain,210,2013-01-01 14:51:00,
10:51 AM,44.1,39.9,85,30.06,8.0,SW,11.5,-,0.01,Rain,Light Rain,220,2013-01-01 15:51:00,
11:51 AM,45.0,41.0,86,30.01,10.0,SW,12.7,-,0.0,Rain,Light Rain,220,2013-01-01 16:51:00,
12:51 PM,46.0,42.1,86,29.96,10.0,SW,15.0,-,0.0,,Overcast,220,2013-01-01 17:51:00,
1:51 PM,46.9,43.0,86,29.97,8.0,WSW,12.7,-,0.0,Rain,Light Rain,240,2013-01-01 18:51:00,
2:51 PM,48.0,45.0,89,29.95,8.0,SW,10.4,-,0.01,Rain,Light Rain,230,2013-01-01 19:51:00,
3:51 PM,48.9,46.0,90,29.95,8.0,SW,10.4,-,0.0,Rain,Light Rain,230,2013-01-01 20:51:00,
